,Unnamed: 0,SMILES,rate of thermal isomerisation from Z-E in s-1,Solvent used for thermal isomerisation rates,Z PhotoStationaryState,E PhotoStationaryState,E isomer pi-pi* wavelength in nm,Extinction,E isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1,Z isomer pi-pi* wavelength in nm,Extinction.1,Z isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1.1,Wiberg index,E-Z irradiation wavelength in nm,Z-E irradiation wavelength,Irradiation solvent,PBE0 DFT E isomer pi-pi* wavelength in nm,PBE0 DFT E isomer n-pi* wavelength in nm,PBE0 DFT Z isomer pi-pi* wavelength in nm,PBE0 DFT Z isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer n-pi* wavelength in nm,BHLYP/6-31G* DFT E isomer pi-pi* wavelength in nm,BHLYP/6-31G* DFT E isomer n-pi* wavelength in nm,BHLYP/6-31G* Z isomer pi-pi* wavelength in nm,BHLYP/6-31G* DFT Z isomer n-pi* wavelength in nm
11,10,CN1C(/N=N/C2=CC=CC=C2)=C(C)C=C1C,0.033,MeCN,85.0,98.0,394.0,2.82,430.0,,346.0,0.7040000000000001,479.0,0.608,1.754,415,532,MeCN,360.0,437.0,340.0,485.0,367.0,449.0,338.0,486.0,351.0,423.0,312.0,473.0,,,,
12,107,CC1=NOC(C)=C1/N=N/C2=CC=C(NC(C)=O)C=C2,,,,,342.0,,416.0,,315.0,,437.0,,,,,MeCN,,,,,,,,,,,,,,,,
13,310,[H]N(C)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,,,,,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,103,CC1=NOC(C)=C1/N=N/C2=C([N+]([O-])=O)C=CC=C2,,,,,318.0,,421.0,,318.0,,415.0,,,,,MeCN,,,,,,,,,,,,,,,,
15,31,FC1=CC=CC(F)=C1/N=N/C2=CC=CC=C2,7.70164e-06,MeCN at 60C,74.0,82.0,309.0,20000.0,451.0,700.0,275.0,,419.0,1000.0,,>500,410,MeCN,,,,,,,,,341.0,498.0,315.0,463.0,,,,
16,138,CCN(CC)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,416.0,,,,,,,,,,,EtOH,431.0,,,,,,,,402.0,,,,,,,
17,186,CCN(CC)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,,,,,482.0,,,,,,,,,,,EtOH,528.0,,,,,,,,458.0,,,,,,,
18,91,CC1=NOC(C)=C1/N=N/C2=CC(Cl)=CC=C2,,,,,315.0,,425.0,,294.0,,429.0,,,,,MeCN,,,,,,,,,,,,,,,,
19,121,FC(F)(F)C1=CC=CC=C1/N=N/C2=CC=CC=C2,,,,,317.0,,452.0,,,,,,,,,Alk,342.0,497.0,,,,,,,330.0,463.0,,,,,,
20,71,CC1=C(C(C)=NN1)/N=N/C2=CC=C(Br)C=C2,0.00179,,92.0,72.0,337.0,,416.0,,293.0,,440.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
21,289,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=C(OC)C=C2,,,,,395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,40,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=CC=C2,2.7505840000000003e-05,MeCN at 60C,79.0,89.0,316.0,21000.0,456.0,900.0,255.0,,419.0,1300.0,,>500,410,MeCN,,,,,,,,,350.0,508.0,320.0,468.0,,,,
23,283,FC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,,,,,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,35,FC1=C(F)C(F)=C(F)C(F)=C1/N=N/C2=C(F)C(F)=C(F)C(F)=C2F,4.1e-05,MeCN at 60C,91.0,90.0,310.0,20000.0,453.0,900.0,,,413.0,1600.0,,>500,410,MeCN,,,,,,,,,,,,,,,,
25,389,OC%32=C(N=CC=C%33)C%33=C(/N=N/C%34=CC=C([N+]([O-])=O)C=C%34)C=C%32,,,,,414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,228,[H]C1=CC([N+]([O-])=O)=CC([H])=C1/N=N/C2=CC([H])=C(C=C2OC)N(CC)CC,,,,,501.0,,,,,,,,,,,EtOH,,,,,,,,,,,,,,,,
27,133,O=C(OC)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,328.0,,467.0,,,,,,,,,EtOH,355.0,496.0,,,,,,,331.0,450.0,,,,,,
28,270,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(C)=CC=C2,,,,,402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,27,CN(N=C1C)C(C)=C1/N=N/C2=C(F)C=CC=C2F,7.84e-08,MeCN,93.0,77.0,328.0,,425.0,,297.0,,422.0,,,UVA,420,MeCN,,,,,,,,,292.0,437.0,317.0,458.0,,,,
30,122,CC1=CC=CC=C1/N=N/C2=CC=CC=C2,,,,,323.0,,455.0,,,,,,,,,Alk,349.0,495.0,,,,,,,337.0,467.0,,,,,,
31,400,OC%38=C%39N=CC=CC%39=C(/N=N/C%40=NC%41=CC(C)=C(C)C=C%41S%40)C=C%38,,,,,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,126,NC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,,,,,417.0,,,,,,,,,,,EtOH,429.0,,,,,,,,370.0,,,,,,,
33,305,CN(CCC#N)C(C=C%17)=CC=C%17/N=N/C%18=CC=CC=C%18,,,,,396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,335,c1ccc(cc1)c1[nH]c2c(c1N=Nc1nncs1)cccc2,,,,,437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,182,CC(C=C1)=CC=C1/N=N/C2=CC=C(N(CC)CC)C=C2,,,,,411.0,,,,,,,,,,,EtOH,432.0,,,,,,,,403.0,,,,,,,
36,95,CC1=NOC(C)=C1/N=N/C2=CC=C(Br)C=C2,,,,,325.0,,421.0,,295.0,,432.0,,,,,MeCN,,,,,,,,,,,,,,,,
37,24,CC(C(C=C1)=CC=C1N=NC2=NNC=C2)=O,,,,,322.0,,,,,,415.0,,,,,,,,,,,,,,,,,,,,,
38,209,OC1=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=CC(O)=C1,,,,,432.0,,,,,,,,,,,MeOH,436.0,,,,,,,,395.0,,,,,,,
39,386,OC%23=C(N=CC=C%24)C%24=C(/N=N/C%25=CC=CC=C%25C(O)=O)C=C%23,,,,,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,61,O=C(N(CCC)C=C1/N=N/C2=CC=C(C(C)(C)C)C=C2)NC1=O,9.8739e-07,toluene,100.0,100.0,375.0,,450.0,,,,450.0,,,600,430,toluene,,,,,,,,,,,,,,,,
41,401,OC%42=C%43N=CC=CC%43=C(/N=N/C%44=NC%45=CC=CC=C%45N%44)C=C%42,,,,,437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,54,CC(NC(C=C1OC)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2OC)=O,5.73038e-07,DMSO,80.0,85.0,345.0,,490.0,,320.0,,450.0,,,530-560,450-460,DMSO,,,,,,,,,,,,,,,,
43,265,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=C(C#N)C=CC=C2,,,,,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,248,BrC9=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C9/N=N/C%10=CC(OC)=C(C=C%10)N(CC)CC,,,,,549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,262,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=C(C(F)(F)F)C=CC=C2,,,,,419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,307,CCN(CCC#N)C(C=C%21C)=CC=C%21/N=N/C%22=CC=CC=C%22,,,,,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,179,CN(C)C1=CC=C(/N=N/C2=CC=C(C(OC)=O)C=C2)C=C1,,,,,442.0,,,,,,,,,,,EtOH,457.0,,,,,,,,419.0,,,,,,,
48,280,ClC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,,,,,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,30,FC1=CC=CC=C1/N=N/C2=C(F)C=CC=C2,1.75037e-05,MeCN at 60C,66.0,82.0,325.0,20000.0,448.0,700.0,275.0,,420.0,1200.0,,>500,410,MeCN,,,,,,,,,346.0,500.0,322.0,466.0,,,,
50,208,CCN(CC)C(C=C1)=CC=C1/N=N/C2=CC(C#N)=CC(C#N)=C2,,,,,478.0,,,,,,,,,,,EtOH,459.0,,,,,,,,422.0,,,,,,,
51,257,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC=C2Cl,,,,,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,314,CC9=CC(NCCC#N)=CC=C9/N=N/C%10=CC=C([N+]([O-])=O)C=C%10,,,,,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,136,O=C1C=CC(N1C2=CC=C(/N=N/C3=CC=CC=C3)C=C2)=O,,,,,329.0,,,,,,,,,,,MeOH,356.0,,,,,,,,332.0,,,,,,,
54,368,ClC(C=C%13)=CC=C%13N=NC%14=NC%15=CC=C([N+]([O-])=O)C=C%15S%14,,,,,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,130,ClC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,324.0,,442.0,,,,,,,,,CH,348.0,479.0,,,,,,,334.0,454.0,,,,,,
56,201,OC1=C(/N=N/C2=CC=C(NC(C)=O)C=C2)C=C(C)C=C1,,,,,357.0,,,,,,,,,,,Wat,417.0,,,,,,,,379.0,,,,,,,
57,15,NC(C=C1)=CC=C1N=NC2=NNC=C2,,,,,391.0,,,,,,452.0,,,,,,,,,,,,,,,,,,,,,
58,334,Cn1c(C)c(c2c1cccc2)N=Nc1nncs1,,,,,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,358,[H]C%10=CC=C(N=C(N=NC%11=C(NC(C)=O)C=CC=C%11)S%12)C%12=C%10,,,,,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,12,CN1C(/N=N/C2=CC=CC=C2)=NC=C1,2.2e-05,MeCN,98.0,,363.0,1.7,417.0,0.126,,,,,1.835,363,532,MeCN,342.0,455.0,337.0,489.0,,,,,,,,,,,,
61,293,OCCC1=CC=CC=C1/N=N/C2=CC=C(NCCC#N)C=C2,,,,,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,124,BrC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,,,,,321.0,,,,,,,,,,,EtOH,343.0,,,,,,,,324.0,,,,,,,
63,155,FC(F)(F)C1=CC=C(/N=N/C2=CC=C(C(F)(F)F)C=C2)C=C1,,,,,313.0,,454.0,,,,,,,,,Alk,335.0,497.0,,,,,,,322.0,461.0,,,,,,
64,292,CC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,,,,,395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,16,COC(C=C1)=CC=C1N=NC2=NNC=C2,,,,,344.0,,,,,,430.0,,,,,,,,,,,,,,,,,,,,,
66,218,CC1=C([N+]([O-])=O)C(C)=CC(/N=N/C2=CC(C)=C(N(C)C)C(C)=C2)=C1,,,,,382.0,,,,,,,,,,,EtOH,524.0,,,,,,,,432.0,,,,,,,
67,369,FC(C=C%16)=CC=C%16N=NC%17=NC%18=CC=C([N+]([O-])=O)C=C%18S%17,,,,,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,348,Sc1[nH]nc(n1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,,,,,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,295,OCCC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,,,,,396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,87,CC1=NOC(C)=C1/N=N/C2=C(F)C=CC=C2,,,48.0,80.0,321.0,,416.0,,313.0,,422.0,,,,,MeCN,,,,,,,,,,,,,,,,
71,367,ClC%10=CC(N=NC%11=NC%12=CC=C([N+]([O-])=O)C=C%12S%11)=CC=C%10,,,,,334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,376,COC(C=C4)=CC=C4N=NC5=NC6=CC=C([N+]([O-])=O)C=C6S5,,,,,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,266,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(C#N)C=C2,,,,,437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,404,N#CC9C(SC(/N=N/C%10=NC(C=CC([N+]([O-])=O)=C%11)=C%11S%10)C9C%12CCC(OC)CC%12)N,,,,,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,119,C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,,,,,319.0,,440.0,,,,,,,,,EtOH,344.0,477.0,,304.0,465.0,,,,324.0,438.0,275.0,461.0,,,,
76,344,CCc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,,,,,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,117,CC1=C(/N=N/C2=CC=CN=C2)C(C)=NO1,,,,,316.0,,421.0,,311.0,,429.0,,,,,MeCN,,,,,,,,,,,,,,,,
78,100,CC1=NOC(C)=C1/N=N/C2=C(OC)C=CC=C2,,,,,311.0,,414.0,,285.0,,426.0,,,,,MeCN,,,,,,,,,,,,,,,,
79,288,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC(OC)=C2,,,,,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,246,[H]C5=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C5/N=N/C6=CC(OC)=C(C=C6)N(CC)CC,,,,,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,25,[O-][N+](C(C=C1)=CC=C1N=NC2=NNC=C2)=O,,,,,340.0,,,,,,418.0,,,,,,,,,,,,,,,,,,,,,
82,78,CC1=C(C(C)=NN1)/N=N/C2=CC=C(OC)C=C2,0.0012,,92.0,68.0,342.0,,403.0,,301.0,,441.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
83,359,[H]C%13=CC=C(N=C(N=NC%14=CC=C(NC(C)=O)C=C%14)S%15)C%15=C%13,,,,,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,28,CN(N=C1C)C(C)=C1/N=N/C2=C(Cl)C=CC=C2Cl,6.95e-06,MeCN,80.0,85.0,328.0,,424.0,,299.0,,425.0,,,UVA,420,MeCN,,,,,,,,,294.0,435.0,304.0,441.0,,,,
85,294,CC(O)C1=CC(/N=N/C2=CC=C(NCCC#N)C=C2)=CC=C1,,,,,396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,219,[H]C1=C(N2CCOCC2)C=CC(/N=N/C3=CC=C(N4CCOCC4)C([H])=C3)=C1,,,,,402.0,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
87,268,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(OC)=CC=C2,,,,,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,350,Oc1c(/C=N/c2cc(C(OCC)=O)ccn2)cc(/N=N/c3ccc([N+]([O-])=O)cc3)cc1,,,,,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,164,CC1=CC(Cl)=CC=C1/N=N/C2=C(C)C=C(Cl)C=C2,,,,,346.0,,461.0,,,,,,,,,CH,379.0,506.0,,,,,,,360.0,481.0,,,,,,
90,243,[H]C%13=C(C=C(OC)C(/N=N/C%14=C(C#N)C=C([N+]([O-])=O)C=C%14C#N)=C%13)N(CC)CC,,,,,601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,123,NC1=CC=CC=C1/N=N/C2=CC=CC=C2,,,,,421.0,,,,,,,,,,,EtOH,419.0,,,,,,,,388.0,,,,,,,
92,66,CC1=C(C(C)=NN1)/N=N/C2=C(Cl)C=CC=C2,0.00403,,84.0,86.0,339.0,,426.0,,292.0,,432.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
93,207,CCN(CC)C(C=C1)=CC=C1/N=N/C2=CC(C#N)=C(C#N)C=C2,,,,,500.0,,,,,,,,,,,EtOH,496.0,,,,,,,,447.0,,,,,,,
94,399,OC%34=C%35N=CC=CC%35=C(/N=N/C%36=NC%37=CC=C(OC)C=C%37S%36)C=C%34,,,,,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,332,N#CC1=CC(/N=N/C2=CC=CS2)=CC=C1,,,,,362.0,,,,288.0,,429.0,,,,,,,,,,,,,,,,,,,,,
96,336,Cn1c(c2ccccc2)c(c2c1cccc2)N=Nc1nncs1,,,,,431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,22,O=C(O)C(C=C1)=CC=C1N=NC2=NNC=C2,,,,,328.0,,,,,,425.0,,,,,,,,,,,,,,,,,,,,,
98,26,CN(N=C1)C=C1/N=N/C2=C(F)C=CC=C2F,4.8e-10,DMSO/MeCN,92.0,42.0,316.0,,413.0,,282.0,,400.0,,,UVA,420,MeCN,,,,,,,,,258.0,421.0,312.0,467.0,,,,
99,308,N#CCCN(CCC#N)C(C=C%23)=CC=C%23/N=N/C%24=CC=CC=C%24,,,,,382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,67,CC1=C(C(C)=NN1)/N=N/C2=CC(Cl)=CC=C2,0.0114,,80.0,77.0,336.0,,418.0,,290.0,,418.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
101,162,CC1=CC(/N=N/C2=CC(C)=C(C)C=C2)=CC=C1C,,,,,333.0,,441.0,,,,,,,,,CH,356.0,473.0,,,,,,,343.0,445.0,,,,,,
102,383,OC%14=C(N=CC=C%15)C%15=C(/N=N/C%16=CC=C(OCC)C=C%16)C=C%14,,,,,388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,59,IC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,1.6742700000000002e-06,toluene,81.0,81.0,330.0,14540.0,,,,,432.0,,,365,440,toluene,,,,,,,,,,,,,,,,
104,145,FC(F)(F)C1=C(/N=N/C2=C(C(F)(F)F)C=CC=C2)C=CC=C1,,,,,317.0,,463.0,,,,,,,,,Alk,343.0,513.0,,,,,,,330.0,477.0,,,,,,
105,395,OC%18=C%19N=CC=CC%19=C(/N=N/C%20=NC(C%21=CC=C(Cl)C=C%21)=CS%20)C=C%18,,,,,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,143,O=[N+]([O-])C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,333.0,,460.0,,,,,,,,,EtOH,378.0,517.0,,,,,,,344.0,459.0,,,,,,
107,325,CC(S1)=CC=C1/N=N/C2=CC=C(C#N)C=C2,,,,,387.0,,,,328.0,,400.0,,,,,,,,,,,,,,,,,,,,,
108,222,CC%13=C(N%14CCCC%14)C=CC(/N=N/C%15=CC=C(N%16CCCC%16)C(C)=C%15)=C%13,,,,,406.0,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
109,142,CN(C)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,408.0,,,,,,,,,,,MeOH,427.0,,,,,,,,397.0,,,,,,,
110,36,FC1=CC=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,9.16861e-06,MeCN at 60C,75.0,88.0,316.0,22000.0,453.0,700.0,255.0,,417.0,1000.0,,>500,410,MeCN,,,,,,,,,354.0,523.0,326.0,471.0,,,,
111,194,CN(C)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,,,,,473.0,,,,,,,,,,,EtOH,522.0,,,,,,,,451.0,,,,,,,
112,69,CC1=C(C(C)=NN1)/N=N/C2=C(Br)C=CC=C2,0.0042899999999999,,88.0,72.0,340.0,,424.0,,289.0,,431.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
113,171,OC(C=C(O)C=C1)=C1/N=N/C2=CC=CC=C2,,,,,400.0,,,,,,,,,,,MeOH,382.0,,,,,,,,360.0,,,,,,,
114,89,CC1=NOC(C)=C1/N=N/C2=CC=C(F)C=C2,,,,,318.0,,421.0,,296.0,,428.0,,,,,MeCN,,,,,,,,,,,,,,,,
115,170,O=[N+]([O-])C1=C(/N=N/C2=C([N+]([O-])=O)C=CC=C2)C=CC=C1,,,,,323.0,,,,,,,,,,,Chl,354.0,,,,,,,,327.0,,,,,,,
116,261,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(F)=CC=C2,,,,,415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,326,CC(S1)=CC=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,,,,,378.0,,,,326.0,,392.0,,,,,,,,,,,,,,,,,,,,,
118,221,[H]C9=C(N%10CCCC%10)C=CC(/N=N/C%11=CC=C(N%12CCCC%12)C([H])=C%11)=C9,,,,,431.0,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
119,333,Cc1[nH]c2c(c1N=Nc1nncs1)cccc2,,,,,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,150,ClC1=CC=CC(/N=N/C2=CC=CC(Cl)=C2)=C1,,,,,320.0,,435.0,,,,,,,,,EtOH,346.0,479.0,,,,,,,322.0,440.0,,,,,,
121,381,OC7=C(N=CC=C8)C8=C(/N=N/C9=CC=C(OC%10=CC=CC=C%10)C=C9)C=C7,,,,,395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,195,O=[N+]([O-])C(C=C1)=CC=C1/N=N/C2=CC=C(NC3=CC=CC=C3)C=C2,,,,,483.0,,,,,,,,,,,Wat,536.0,,,,,,,,452.0,,,,,,,
123,377,CSC7=CC=CC=C7N=NC8=NC9=CC=C([N+]([O-])=O)C=C9S8,,,,,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,168,CN(C)C(C=C1)=CC=C1/N=N/C2=C(C(O)=O)C=CC=C2,,,,,410.0,,,,,,,,,,,MeOH,465.0,,,,,,,,434.0,,,,,,,
125,232,[H]C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,,,,,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,152,CC1=CC=CC(/N=N/C2=CC=CC(C)=C2)=C1,,,,,331.0,,447.0,,,,,,,,,Chl,345.0,480.0,,,,,,,330.0,444.0,,,,,,
127,113,CC1=C(/N=N/C2=C(F)C=CC=C2F)C(C)=NO1,,,,,309.0,,419.0,,305.0,,419.0,,,,,MeCN,,,,,,,,,,,,,,,,
128,1,C[N]1C=NC(=N1)N=NC2=CC=CC=C2,3.8e-07,MeCN,90.0,84.0,310.0,1.87,438.0,0.0505,272.0,0.489,434.0,0.127,1.899,355,532,MeCN,306.0,473.0,284.0,448.0,,,,,,,,,,,,
129,258,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC(Cl)=C2,,,,,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,236,[H]C1=C(C=C([H])C(/N=N/C2=C(C#N)C=C([N+]([O-])=O)C=C2C#N)=C1)N(CC)CC,,,,,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
